Date,Day_of_Week,Season,Holiday,Competitor_Price,Roomify_Price,Demand,Bookings,Occupancy_Percentage,Total_Rooms,Revenue,RevPAR
2022-01-01,Saturday,Low,Yes,142.45,149.23,189.6,190.0,94.8,200,28359.1,141.8
2022-01-02,Sunday,Low,No,131.49,147.32,139.5,129.3,69.8,200,19050.63,95.25
2022-01-03,Monday,Low,No,127.96,162.85,64.2,51.6,32.1,200,8398.17,41.99
2022-01-04,Tuesday,Low,No,138.63,113.73,45.5,36.1,22.8,200,4107.85,20.54
2022-01-05,Wednesday,Low,No,119.81,158.28,54.1,38.4,27.1,200,6072.9,30.36
2022-01-06,Thursday,Low,No,156.98,147.48,81.4,57.6,40.7,200,8488.85,42.44
2022-01-07,Friday,Low,No,126.83,154.22,51.8,46.0,25.9,200,7090.15,35.45
2022-01-08,Saturday,Low,No,125.99,146.17,94.6,97.9,47.3,200,14312.19,71.56
2022-01-09,Sunday,Low,No,134.8,130.85,128.5,93.5,64.2,200,12234.27,61.17
2022-01-10,Monday,Low,No,138.13,112.81,53.4,46.5,26.7,200,5242.44,26.21
2022-01-11,Tuesday,Low,No,146.08,155.43,76.2,62.4,38.1,200,9704.15,48.52
2022-01-12,Wednesday,Low,No,112.82,137.6,65.5,62.6,32.8,200,8615.91,43.08
2022-01-13,Thursday,Low,No,140.15,116.74,86.5,70.2,43.2,200,8192.66,40.96
2022-01-14,Friday,Low,No,124.85,164.23,93.0,87.8,46.5,200,14412.55,72.06
2022-01-15,Saturday,Low,No,122.41,145.82,112.2,106.3,56.1,200,15502.66,77.51
2022-01-16,Sunday,Low,No,127.81,148.29,84.5,61.7,42.2,200,9150.84,45.75
2022-01-17,Monday,Low,No,147.19,179.12,73.4,69.7,36.7,200,12486.89,62.43
2022-01-18,Tuesday,Low,No,140.42,139.1,87.2,87.6,43.6,200,12179.34,60.9
2022-01-19,Wednesday,Low,No,134.46,183.29,18.9,17.6,9.4,200,3227.53,16.14
